UF de notificação;2007;2008;2009;2010;2011;2012;Total
RO;2;15;30;14;56;9;126
AC;25;36;71;46;130;260;568
AM;49;46;65;38;75;72;345
RR;2;3;2;2;-;3;12
PA;105;137;101;91;131;100;665
AP;58;95;94;67;98;82;494
TO;-;2;2;1;4;4;13
MA;20;56;58;39;48;20;241
PI;-;5;17;2;1;3;28
CE;69;92;305;37;134;60;697
RN;3;16;43;20;35;14;131
PB;15;14;13;8;26;16;92
PE;202;195;205;270;380;122;1374
AL;49;77;77;68;86;49;406
SE;86;74;54;76;51;36;377
BA;122;114;157;197;169;94;853
MG;80;68;108;99;110;126;591
ES;150;137;237;269;305;239;1337
RJ;242;258;329;295;422;186;1732
SP;749;603;858;875;999;763;4847
PR;372;198;204;318;479;224;1795
SC;362;934;456;432;704;411;3299
RS;501;429;461;476;544;274;2685
MS;2;6;4;2;-;6;20
MT;3;14;1;3;8;6;35
GO;7;8;8;7;3;19;52
DF;27;22;36;35;13;24;157
Total;3302;3654;3996;3787;5011;3222;22972
