SAO GABRIEL DA CACHOEIRA(UAUPES);AM;NORTE
JACOBINA;BA;NORDESTE
IMPERATRIZ;MA;NORDESTE
JUAZEIRO DO NORTE;CE;NORDESTE
SAO JOSE DO RIO CLARO;MT;CENTRO-OESTE
PORTO ALEGRE;RS;SUL
SAO VICENTE;SP;SUDESTE
USINA JUNQUEIRA;SP;SUDESTE
CAMPOS;RJ;SUDESTE
IGUABA GRANDE;RJ;SUDESTE
BENJAMIN CONSTANT;AM;NORTE
PETROLINA;PE;NORDESTE
MOSSORO;RN;NORDESTE
SURUBIM;PE;NORDESTE
POMPEU;MG;SUDESTE
GARANHUNS;PE;NORDESTE
OLIVEIRA;MG;SUDESTE
ALTO DA BOA VISTA;MT;CENTRO-OESTE
SANTA FE DO SUL;SP;SUDESTE
ENCRUZILHADA DO SUL;RS;SUL
GRA. JURITI (PETROPOL.;RJ;SUDESTE
TAPACURA;PE;NORDESTE
NOVA CRUZ;RN;NORDESTE
CORUMBA;MS;CENTRO-OESTE
MORADA NOVA;CE;NORDESTE
UNAI;MG;SUDESTE
URUSSANGA;SC;SUL
CARBONITA;MG;SUDESTE
SAO LUIZ GONZAGA;RS;SUL
CARATINGA;MG;SUDESTE
ITABERABA;BA;NORDESTE
PASSO FUNDO;RS;SUL
SAO MATEUS;ES;SUDESTE
BOM JESUS DA LAPA;BA;NORDESTE
VICOSA DO CEARA;CE;NORDESTE
CACERES;MT;CENTRO-OESTE
CANAVIEIRAS;BA;NORDESTE
LAGES;SC;SUL
REALENGO;RJ;SUDESTE
BELTERRA;PA;NORTE
PARACATU;MG;SUDESTE
RESENDE;RJ;SUDESTE
BAGE;RS;SUL
BARRA DO RIO GRANDE;RS;SUL
BAMBUI;MG;SUDESTE
SAO JOSE DO BARREIRO;SP;SUDESTE
TRIUNFO;RS;SUL
RIO GRANDE;RS;SUL
IBIRITE;MG;SUDESTE
ITACARAMBI;MG;SUDESTE
BARCELOS;AM;NORTE
CATANDUVA;SP;SUDESTE
CARAVELAS;BA;NORDESTE
GUARULHOS;SP;SUDESTE
PILAR (MANGUABA);AL;NORDESTE
CAMPOS NOVOS;SC;SUL
PESQUEIRA;PE;NORDESTE
DIVINOPOLIS;MG;SUDESTE
CALDEIRAO;CE;NORDESTE
CODAJAS;AM;NORTE
PELOTAS;RS;SUL
INDAIAL;SC;SUL
MACEIO;AL;NORDESTE
ALTAMIRA;PA;NORTE
CORRENTINA;BA;NORDESTE
MARICA;RJ;SUDESTE
CROSLANDIA;GO;CENTRO-OESTE
PALMAS;TO;NORTE
GLEBA CELESTE;MG;SUDESTE
CAMBARA DO SUL;RS;SUL
CURITIBA;PR;SUL
GOIANESIA;GO;CENTRO-OESTE
IRAI;RS;SUL
MUNIZ FREIRE;ES;SUDESTE
QUIXADA;CE;NORDESTE
