data;cidade;precipitacao
2007-01-31;PESQUEIRA;1,3
2007-02-28;PESQUEIRA;112,4
2007-03-31;PESQUEIRA;71,4
2007-04-30;PESQUEIRA;57,1
2007-05-31;PESQUEIRA;64,4
2007-06-30;PESQUEIRA;83,3
2007-07-31;PESQUEIRA;9,3
2007-08-31;PESQUEIRA;21,4
2007-09-30;PESQUEIRA;11,8
2007-10-31;PESQUEIRA;,1
2007-11-30;PESQUEIRA;4,2
2007-12-31;PESQUEIRA;12
2008-01-31;PESQUEIRA;4
2008-02-29;PESQUEIRA;209,4
2008-03-31;PESQUEIRA;241,2
2008-04-30;PESQUEIRA;63,4
2008-05-31;PESQUEIRA;186,8
2008-06-30;PESQUEIRA;25,9
2008-07-31;PESQUEIRA;null
2008-08-31;PESQUEIRA;null
2008-09-30;PESQUEIRA;null
2008-10-31;PESQUEIRA;0
2008-11-30;PESQUEIRA;0
2008-12-31;PESQUEIRA;0
2009-01-31;PESQUEIRA;0
2009-02-28;PESQUEIRA;133,7
2009-03-31;PESQUEIRA;50,2
2009-04-30;PESQUEIRA;194,6
2009-05-31;PESQUEIRA;348,1
2009-06-30;PESQUEIRA;60,5
2009-07-31;PESQUEIRA;101,3
2009-08-31;PESQUEIRA;73,9
2009-09-30;PESQUEIRA;,7
2009-10-31;PESQUEIRA;2,5
2009-11-30;PESQUEIRA;19,1
2009-12-31;PESQUEIRA;20,9
2010-01-31;PESQUEIRA;null
2010-02-28;PESQUEIRA;23,2
2010-03-31;PESQUEIRA;23,9
2010-04-30;PESQUEIRA;276,8
2010-05-31;PESQUEIRA;4,5
2010-06-30;PESQUEIRA;199,6
2010-07-31;PESQUEIRA;22,4
2010-08-31;PESQUEIRA;4,1
2010-09-30;PESQUEIRA;33,5
2010-10-31;PESQUEIRA;64
2010-11-30;PESQUEIRA;0
2010-12-31;PESQUEIRA;46,8
2011-01-31;PESQUEIRA;null
2011-02-28;PESQUEIRA;40,4
2011-03-31;PESQUEIRA;18,3
2011-04-30;PESQUEIRA;54,5
2011-05-31;PESQUEIRA;145
2011-06-30;PESQUEIRA;42,4
2011-07-31;PESQUEIRA;84,5
2011-08-31;PESQUEIRA;12,1
2011-09-30;PESQUEIRA;15,4
2011-10-31;PESQUEIRA;8,1
2011-11-30;PESQUEIRA;32,6
2011-12-31;PESQUEIRA;,1
2012-01-31;PESQUEIRA;null
2012-02-29;PESQUEIRA;27,7
2012-03-31;PESQUEIRA;2,8
2012-04-30;PESQUEIRA;0
2012-05-31;PESQUEIRA;6,3
2012-06-30;PESQUEIRA;37,4
2012-07-31;PESQUEIRA;22,3
2012-08-31;PESQUEIRA;16,1
2012-09-30;PESQUEIRA;2,5
2012-10-31;PESQUEIRA;0
2012-11-30;PESQUEIRA;2,8
2012-12-31;PESQUEIRA;7,1
2007-01-31;DIVINOPOLIS;470,1
2007-02-28;DIVINOPOLIS;131
2007-03-31;DIVINOPOLIS;49,6
2007-04-30;DIVINOPOLIS;79,9
2007-05-31;DIVINOPOLIS;21,3
2007-06-30;DIVINOPOLIS;0
2007-07-31;DIVINOPOLIS;23,9
2007-08-31;DIVINOPOLIS;0
2007-09-30;DIVINOPOLIS;0
2007-10-31;DIVINOPOLIS;57
2007-11-30;DIVINOPOLIS;143,7
2007-12-31;DIVINOPOLIS;282,6
2008-01-31;DIVINOPOLIS;393,2
2008-02-29;DIVINOPOLIS;241
2008-03-31;DIVINOPOLIS;188,7
2008-04-30;DIVINOPOLIS;117,2
2008-05-31;DIVINOPOLIS;1,8
2008-06-30;DIVINOPOLIS;60,1
2008-07-31;DIVINOPOLIS;0
2008-08-31;DIVINOPOLIS;28,8
2008-09-30;DIVINOPOLIS;74,5
2008-10-31;DIVINOPOLIS;27,1
2008-11-30;DIVINOPOLIS;207,8
2008-12-31;DIVINOPOLIS;571
2009-01-31;DIVINOPOLIS;373,6
2009-02-28;DIVINOPOLIS;195
2009-03-31;DIVINOPOLIS;134,7
2009-04-30;DIVINOPOLIS;111,9
2009-05-31;DIVINOPOLIS;22,9
2009-06-30;DIVINOPOLIS;30,3
2009-07-31;DIVINOPOLIS;1,7
2009-08-31;DIVINOPOLIS;35,5
2009-09-30;DIVINOPOLIS;50,6
2009-10-31;DIVINOPOLIS;215,8
2009-11-30;DIVINOPOLIS;94,7
2009-12-31;DIVINOPOLIS;362,5
2010-01-31;DIVINOPOLIS;152,8
2010-02-28;DIVINOPOLIS;80,9
2010-03-31;DIVINOPOLIS;235,5
2010-04-30;DIVINOPOLIS;11,3
2010-05-31;DIVINOPOLIS;39,4
2010-06-30;DIVINOPOLIS;0
2010-07-31;DIVINOPOLIS;,5
2010-08-31;DIVINOPOLIS;0
2010-09-30;DIVINOPOLIS;64,8
2010-10-31;DIVINOPOLIS;156,6
2010-11-30;DIVINOPOLIS;304,7
2010-12-31;DIVINOPOLIS;212,3
2011-01-31;DIVINOPOLIS;271,3
2011-02-28;DIVINOPOLIS;116,3
2011-03-31;DIVINOPOLIS;367
2011-04-30;DIVINOPOLIS;144,4
2011-05-31;DIVINOPOLIS;7,6
2011-06-30;DIVINOPOLIS;21,6
2011-07-31;DIVINOPOLIS;0
2011-08-31;DIVINOPOLIS;,6
2011-09-30;DIVINOPOLIS;1,1
2011-10-31;DIVINOPOLIS;170,5
2011-11-30;DIVINOPOLIS;140,4
2011-12-31;DIVINOPOLIS;451,2
2012-01-31;DIVINOPOLIS;401,5
2012-02-29;DIVINOPOLIS;38
2012-03-31;DIVINOPOLIS;148,6
2012-04-30;DIVINOPOLIS;66,5
2012-05-31;DIVINOPOLIS;17,5
2012-06-30;DIVINOPOLIS;106,8
2012-07-31;DIVINOPOLIS;1,2
2012-08-31;DIVINOPOLIS;0
2012-09-30;DIVINOPOLIS;12,3
2012-10-31;DIVINOPOLIS;14,6
2012-11-30;DIVINOPOLIS;163,5
2012-12-31;DIVINOPOLIS;137,4
2007-01-31;SANTA VITORIA DO PALMAR;3,2
2007-02-28;SANTA VITORIA DO PALMAR;268,8
2007-03-31;SANTA VITORIA DO PALMAR;237,6
2007-04-30;SANTA VITORIA DO PALMAR;71,1
2007-05-31;SANTA VITORIA DO PALMAR;146,5
2007-06-30;SANTA VITORIA DO PALMAR;137,4
2007-07-31;SANTA VITORIA DO PALMAR;36,2
2007-08-31;SANTA VITORIA DO PALMAR;120,7
2007-09-30;SANTA VITORIA DO PALMAR;44,2
2007-10-31;SANTA VITORIA DO PALMAR;213
2007-11-30;SANTA VITORIA DO PALMAR;46,7
2007-12-31;SANTA VITORIA DO PALMAR;82,1
2008-01-31;SANTA VITORIA DO PALMAR;27
2008-02-29;SANTA VITORIA DO PALMAR;49,4
2008-03-31;SANTA VITORIA DO PALMAR;98
2008-04-30;SANTA VITORIA DO PALMAR;44,4
2008-05-31;SANTA VITORIA DO PALMAR;219,7
2008-06-30;SANTA VITORIA DO PALMAR;88,8
2008-07-31;SANTA VITORIA DO PALMAR;43,2
2008-08-31;SANTA VITORIA DO PALMAR;85,9
2008-09-30;SANTA VITORIA DO PALMAR;38
2008-10-31;SANTA VITORIA DO PALMAR;13,3
2008-11-30;SANTA VITORIA DO PALMAR;11,3
2008-12-31;SANTA VITORIA DO PALMAR;95,6
2009-01-31;SANTA VITORIA DO PALMAR;96,8
2009-02-28;SANTA VITORIA DO PALMAR;81,7
2009-03-31;SANTA VITORIA DO PALMAR;154,1
2009-04-30;SANTA VITORIA DO PALMAR;18,8
2009-05-31;SANTA VITORIA DO PALMAR;134,5
2009-06-30;SANTA VITORIA DO PALMAR;59,2
2009-07-31;SANTA VITORIA DO PALMAR;29,2
2009-08-31;SANTA VITORIA DO PALMAR;109,8
2009-09-30;SANTA VITORIA DO PALMAR;65,1
2009-10-31;SANTA VITORIA DO PALMAR;144,5
2009-11-30;SANTA VITORIA DO PALMAR;160,2
2009-12-31;SANTA VITORIA DO PALMAR;99,2
2010-01-31;SANTA VITORIA DO PALMAR;81,9
2010-02-28;SANTA VITORIA DO PALMAR;273,2
2010-03-31;SANTA VITORIA DO PALMAR;134,2
2010-04-30;SANTA VITORIA DO PALMAR;128,6
2010-05-31;SANTA VITORIA DO PALMAR;47,3
2010-06-30;SANTA VITORIA DO PALMAR;65,2
2010-07-31;SANTA VITORIA DO PALMAR;154,9
2010-08-31;SANTA VITORIA DO PALMAR;42,6
2010-09-30;SANTA VITORIA DO PALMAR;137,4
2010-10-31;SANTA VITORIA DO PALMAR;19,2
2010-11-30;SANTA VITORIA DO PALMAR;65,3
2010-12-31;SANTA VITORIA DO PALMAR;26,3
2011-01-31;SANTA VITORIA DO PALMAR;75,7
2011-02-28;SANTA VITORIA DO PALMAR;118,3
2011-03-31;SANTA VITORIA DO PALMAR;73,5
2011-04-30;SANTA VITORIA DO PALMAR;160,6
2011-05-31;SANTA VITORIA DO PALMAR;178,6
2011-06-30;SANTA VITORIA DO PALMAR;117,7
2011-07-31;SANTA VITORIA DO PALMAR;128,5
2011-08-31;SANTA VITORIA DO PALMAR;159,4
2011-09-30;SANTA VITORIA DO PALMAR;62,4
2011-10-31;SANTA VITORIA DO PALMAR;123
2011-11-30;SANTA VITORIA DO PALMAR;16,5
2011-12-31;SANTA VITORIA DO PALMAR;48,1
2012-01-31;SANTA VITORIA DO PALMAR;13,1
2012-02-29;SANTA VITORIA DO PALMAR;139,8
2012-03-31;SANTA VITORIA DO PALMAR;63,8
2012-04-30;SANTA VITORIA DO PALMAR;39
2012-05-31;SANTA VITORIA DO PALMAR;16
2012-06-30;SANTA VITORIA DO PALMAR;120
2012-07-31;SANTA VITORIA DO PALMAR;41,3
2012-08-31;SANTA VITORIA DO PALMAR;96,4
2012-09-30;SANTA VITORIA DO PALMAR;31,2
2012-10-31;SANTA VITORIA DO PALMAR;111,8
2012-11-30;SANTA VITORIA DO PALMAR;41,4
2012-12-31;SANTA VITORIA DO PALMAR;187,6
2007-01-31;BOM DESPACHO;503,1
2007-02-28;BOM DESPACHO;159,8
2007-03-31;BOM DESPACHO;40
2007-04-30;BOM DESPACHO;43,8
2007-05-31;BOM DESPACHO;15,8
2007-06-30;BOM DESPACHO;6,6
2007-07-31;BOM DESPACHO;28
2007-08-31;BOM DESPACHO;0
2007-09-30;BOM DESPACHO;0
2007-10-31;BOM DESPACHO;35
2007-11-30;BOM DESPACHO;133
2007-12-31;BOM DESPACHO;242,4
2008-01-31;BOM DESPACHO;350,8
2008-02-29;BOM DESPACHO;230,2
2008-03-31;BOM DESPACHO;303,7
2008-04-30;BOM DESPACHO;91,1
2008-05-31;BOM DESPACHO;,4
2008-06-30;BOM DESPACHO;0
2008-07-31;BOM DESPACHO;0
2008-08-31;BOM DESPACHO;9
2008-09-30;BOM DESPACHO;53,1
2008-10-31;BOM DESPACHO;34
2008-11-30;BOM DESPACHO;222,6
2008-12-31;BOM DESPACHO;417,3
2009-01-31;BOM DESPACHO;339,2
2009-02-28;BOM DESPACHO;169,2
2009-03-31;BOM DESPACHO;126,8
2009-04-30;BOM DESPACHO;86,7
2009-05-31;BOM DESPACHO;32,8
2009-06-30;BOM DESPACHO;3,2
2009-07-31;BOM DESPACHO;2
2009-08-31;BOM DESPACHO;22,4
2009-09-30;BOM DESPACHO;66,6
2009-10-31;BOM DESPACHO;195,8
2009-11-30;BOM DESPACHO;140,8
2009-12-31;BOM DESPACHO;386,6
2010-01-31;BOM DESPACHO;100,6
2010-02-28;BOM DESPACHO;38,4
2010-03-31;BOM DESPACHO;180
2010-04-30;BOM DESPACHO;21,4
2010-05-31;BOM DESPACHO;54,2
2010-06-30;BOM DESPACHO;4
2010-07-31;BOM DESPACHO;,4
2010-08-31;BOM DESPACHO;0
2010-09-30;BOM DESPACHO;75,8
2010-10-31;BOM DESPACHO;132,4
2010-11-30;BOM DESPACHO;280,5
2010-12-31;BOM DESPACHO;327,4
2011-01-31;BOM DESPACHO;128,2
2011-02-28;BOM DESPACHO;124,5
2011-03-31;BOM DESPACHO;399,7
2011-04-30;BOM DESPACHO;122,6
2011-05-31;BOM DESPACHO;0
2011-06-30;BOM DESPACHO;16,6
2011-07-31;BOM DESPACHO;0
2011-08-31;BOM DESPACHO;0
2011-09-30;BOM DESPACHO;,8
2011-10-31;BOM DESPACHO;182
2011-11-30;BOM DESPACHO;100,6
2011-12-31;BOM DESPACHO;448,6
2012-01-31;BOM DESPACHO;151,2
2012-02-29;BOM DESPACHO;58,6
2012-03-31;BOM DESPACHO;117
2012-04-30;BOM DESPACHO;43,2
